@relation forrestA-weka.filters.supervised.instance.Resample-B0.0-S1-Z95.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z176.1904762

@attribute wmc numeric
@attribute Faultiness {FALSE,TRUE}

@data
5,FALSE
5,FALSE
8,FALSE
7,FALSE
3,FALSE
13,FALSE
3,FALSE
3,FALSE
17,FALSE
17,FALSE
3,FALSE
3,FALSE
3,FALSE
3,FALSE
1,FALSE
5,FALSE
3,FALSE
3,FALSE
3,FALSE
6,FALSE
5,FALSE
7,FALSE
3,FALSE
3,FALSE
5,FALSE
14,FALSE
2,FALSE
2,FALSE
3,FALSE
3,FALSE
17,FALSE
5,FALSE
3,FALSE
14,FALSE
6,FALSE
7,FALSE
3,FALSE
4,TRUE
10,TRUE
10,TRUE
10,TRUE
10,TRUE
10,TRUE
4,TRUE
7,TRUE
4,TRUE
4,TRUE
4,TRUE
4,TRUE
10,TRUE
7,TRUE
4,TRUE
10,TRUE
4,TRUE
10,TRUE
7,TRUE
7,TRUE
10,TRUE
10,TRUE
10,TRUE
7,TRUE
4,TRUE
7,TRUE
7,TRUE
7,TRUE
10,TRUE
10,TRUE
10,TRUE
10,TRUE
7,TRUE
7,TRUE
10,TRUE
10,TRUE
7,TRUE
