@relation arA-weka.filters.supervised.instance.Resample-B0.0-S1-Z99.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z174.3772242

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
115,13,FALSE
77,16,FALSE
12,8,FALSE
23,10,FALSE
50,6,FALSE
74,10,FALSE
22,7,FALSE
61,12,FALSE
38,11,FALSE
26,5,FALSE
24,16,FALSE
21,8,FALSE
31,10,FALSE
3,4,FALSE
10,6,FALSE
42,9,FALSE
13,4,FALSE
33,5,FALSE
69,12,FALSE
52,13,FALSE
73,13,FALSE
57,4,FALSE
45,12,FALSE
16,10,FALSE
77,16,FALSE
50,6,FALSE
40,11,FALSE
53,16,FALSE
2,2,FALSE
36,11,FALSE
121,19,FALSE
35,7,FALSE
10,5,FALSE
14,4,FALSE
76,19,FALSE
45,12,FALSE
34,13,FALSE
13,4,FALSE
26,9,FALSE
91,14,FALSE
8,4,FALSE
9,7,FALSE
18,7,FALSE
55,13,FALSE
32,9,FALSE
26,9,FALSE
54,13,FALSE
3,4,FALSE
149,17,FALSE
40,11,FALSE
10,4,FALSE
31,8,FALSE
9,4,FALSE
115,13,FALSE
32,9,FALSE
77,16,FALSE
47,7,FALSE
31,10,FALSE
54,6,FALSE
7,7,FALSE
74,11,FALSE
8,4,FALSE
9,4,FALSE
4,5,FALSE
26,9,FALSE
285,15,FALSE
7,6,FALSE
32,9,FALSE
77,16,FALSE
35,13,FALSE
34,13,FALSE
94,18,FALSE
7,3,FALSE
31,8,FALSE
95,19,FALSE
51,4,FALSE
29,9,FALSE
73,13,FALSE
53,16,FALSE
77,16,FALSE
12,8,FALSE
62,13,FALSE
25,16,FALSE
69,9,FALSE
68,5,FALSE
52,10,FALSE
70,12,FALSE
3,6,FALSE
9,7,FALSE
23,6,FALSE
26,9,FALSE
27,9,FALSE
4,5,FALSE
45,12,FALSE
3,2,FALSE
14,5,FALSE
8,4,FALSE
21,6,FALSE
54,13,FALSE
3,4,FALSE
18,9,FALSE
32,11,FALSE
146,7,FALSE
10,11,FALSE
86,13,FALSE
51,4,FALSE
58,14,FALSE
148,16,FALSE
26,9,FALSE
290,20,FALSE
13,9,FALSE
4,5,FALSE
4,4,FALSE
40,11,FALSE
35,13,FALSE
45,12,FALSE
112,6,FALSE
29,9,FALSE
60,9,FALSE
20,6,FALSE
19,13,FALSE
16,5,FALSE
31,5,FALSE
55,13,FALSE
27,9,FALSE
31,8,FALSE
12,8,FALSE
13,4,FALSE
9,8,FALSE
3,5,FALSE
6,6,FALSE
18,15,FALSE
62,13,FALSE
128,16,FALSE
4,4,FALSE
17,7,FALSE
8,12,FALSE
102,13,FALSE
10,7,FALSE
9,8,FALSE
20,7,FALSE
21,5,FALSE
57,10,FALSE
32,11,FALSE
290,20,FALSE
22,7,FALSE
14,8,FALSE
149,17,FALSE
26,13,FALSE
6,5,FALSE
68,5,FALSE
31,8,FALSE
155,29,FALSE
136,13,FALSE
2,2,FALSE
14,5,FALSE
14,8,FALSE
18,7,FALSE
112,15,FALSE
60,16,FALSE
12,8,FALSE
62,13,FALSE
7,3,FALSE
29,9,FALSE
77,16,FALSE
60,16,FALSE
10,11,FALSE
61,10,FALSE
23,6,FALSE
21,8,FALSE
39,15,FALSE
77,16,FALSE
16,12,FALSE
47,11,FALSE
12,8,FALSE
3,6,FALSE
22,4,FALSE
131,17,FALSE
45,9,FALSE
82,12,FALSE
185,15,FALSE
3,4,FALSE
7,5,FALSE
58,14,FALSE
3,5,FALSE
2,2,FALSE
115,19,FALSE
29,10,FALSE
26,9,FALSE
11,4,FALSE
7,7,FALSE
58,14,FALSE
16,4,FALSE
25,10,FALSE
7,3,FALSE
55,13,FALSE
8,4,FALSE
112,15,FALSE
82,11,FALSE
21,8,FALSE
69,9,FALSE
6,6,FALSE
73,12,FALSE
8,4,FALSE
42,8,FALSE
33,17,FALSE
8,7,FALSE
8,5,FALSE
82,11,FALSE
58,14,FALSE
50,6,FALSE
29,9,FALSE
42,9,FALSE
21,12,FALSE
14,4,FALSE
76,14,FALSE
8,3,FALSE
82,12,FALSE
25,14,FALSE
61,12,FALSE
27,9,FALSE
112,6,FALSE
17,5,FALSE
62,13,FALSE
39,15,FALSE
74,11,FALSE
55,13,FALSE
9,8,FALSE
35,13,FALSE
15,5,FALSE
26,9,FALSE
33,5,FALSE
112,17,FALSE
21,11,FALSE
12,15,FALSE
24,16,FALSE
14,5,FALSE
42,8,FALSE
19,8,FALSE
75,10,FALSE
12,8,FALSE
149,17,FALSE
29,9,FALSE
23,6,FALSE
2,2,FALSE
18,6,TRUE
19,9,TRUE
10,11,TRUE
19,9,TRUE
18,6,TRUE
269,26,TRUE
89,20,TRUE
50,14,TRUE
89,20,TRUE
86,11,TRUE
142,17,TRUE
43,14,TRUE
161,11,TRUE
47,17,TRUE
333,18,TRUE
52,17,TRUE
181,6,TRUE
181,24,TRUE
18,6,TRUE
95,19,TRUE
181,6,TRUE
18,6,TRUE
244,17,TRUE
11,12,TRUE
52,17,TRUE
60,16,TRUE
95,19,TRUE
103,17,TRUE
47,17,TRUE
43,14,TRUE
333,18,TRUE
161,11,TRUE
269,26,TRUE
114,12,TRUE
50,14,TRUE
30,18,TRUE
240,19,TRUE
240,19,TRUE
18,6,TRUE
161,11,TRUE
114,12,TRUE
43,14,TRUE
244,17,TRUE
86,11,TRUE
181,24,TRUE
47,17,TRUE
19,9,TRUE
670,27,TRUE
51,17,TRUE
47,17,TRUE
244,17,TRUE
907,20,TRUE
103,17,TRUE
173,31,TRUE
10,11,TRUE
51,17,TRUE
60,16,TRUE
21,9,TRUE
244,17,TRUE
240,19,TRUE
47,17,TRUE
324,21,TRUE
907,20,TRUE
445,19,TRUE
43,14,TRUE
21,9,TRUE
47,17,TRUE
142,17,TRUE
10,11,TRUE
333,18,TRUE
161,11,TRUE
19,9,TRUE
240,19,TRUE
181,6,TRUE
269,26,TRUE
27,9,TRUE
30,18,TRUE
18,6,TRUE
670,27,TRUE
11,12,TRUE
250,28,TRUE
50,14,TRUE
240,19,TRUE
269,26,TRUE
907,20,TRUE
30,18,TRUE
