@relation pbeansA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z104.0

@attribute cam numeric
@attribute Faultiness {TRUE,FALSE}

@data
0.47,TRUE
0.5,TRUE
0.428571,TRUE
0.357143,TRUE
0.190883,TRUE
0.371429,TRUE
0.333333,TRUE
0.371429,TRUE
0.47,TRUE
0.357143,TRUE
0.75,TRUE
0.371429,TRUE
0.357143,TRUE
0.469388,FALSE
1,FALSE
0.5,FALSE
0.4,FALSE
1,FALSE
0,FALSE
0.5,FALSE
0.5,FALSE
1,FALSE
0.469388,FALSE
0.5,FALSE
0.555556,FALSE
1,FALSE
