@relation pbeansA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z104.0

@attribute cam numeric
@attribute Faultiness {TRUE,FALSE}

@data
0.428571,TRUE
0.428571,TRUE
0.428571,TRUE
0.404762,TRUE
0.428571,TRUE
1,TRUE
0,TRUE
0.4,TRUE
1,TRUE
0.428571,TRUE
0.428571,TRUE
0.428571,TRUE
0,TRUE
0.4,FALSE
0.533333,FALSE
1,FALSE
0.5,FALSE
0.555556,FALSE
0.625,FALSE
0.555556,FALSE
0.666667,FALSE
1,FALSE
0.666667,FALSE
0.625,FALSE
0.625,FALSE
0.533333,FALSE
