@relation pbeansA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z104.0

@attribute cam numeric
@attribute Faultiness {TRUE,FALSE}

@data
0.75,TRUE
0.6,TRUE
0.433333,TRUE
0.333333,TRUE
0.333333,TRUE
1,TRUE
0.75,TRUE
0.433333,TRUE
0.75,TRUE
0.333333,TRUE
0.357143,TRUE
1,TRUE
0.375,TRUE
0.625,FALSE
1,FALSE
1,FALSE
1,FALSE
0.469388,FALSE
0.469388,FALSE
1,FALSE
0.533333,FALSE
0.533333,FALSE
0.777778,FALSE
0.533333,FALSE
1,FALSE
1,FALSE
