@relation arA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z174.6478873

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
17,5,FALSE
10,4,FALSE
112,6,FALSE
34,11,FALSE
21,8,FALSE
2,2,FALSE
6,6,FALSE
4,5,FALSE
40,11,FALSE
20,4,FALSE
20,4,FALSE
37,15,FALSE
21,12,FALSE
4,6,FALSE
40,11,FALSE
3,4,FALSE
3,5,FALSE
38,11,FALSE
27,9,FALSE
56,7,FALSE
21,8,FALSE
48,11,FALSE
8,4,FALSE
70,7,FALSE
73,13,FALSE
4,5,FALSE
32,11,FALSE
3,6,FALSE
21,8,FALSE
530,12,FALSE
37,15,FALSE
6,6,FALSE
3,6,FALSE
29,9,FALSE
13,4,FALSE
13,4,FALSE
2,2,FALSE
34,11,FALSE
7,6,FALSE
3,6,FALSE
51,4,FALSE
58,11,FALSE
70,7,FALSE
8,3,FALSE
86,13,FALSE
20,4,FALSE
51,4,FALSE
45,9,FALSE
6,5,FALSE
268,23,FALSE
6,6,FALSE
7,6,FALSE
18,9,FALSE
21,8,FALSE
128,13,FALSE
35,7,FALSE
8,3,FALSE
51,4,FALSE
16,8,FALSE
3,4,FALSE
3,5,FALSE
21,5,FALSE
8,4,FALSE
82,11,FALSE
268,23,FALSE
91,5,FALSE
4,4,FALSE
530,12,FALSE
3,4,FALSE
148,16,FALSE
115,13,FALSE
17,5,FALSE
70,7,FALSE
8,3,FALSE
26,9,FALSE
6,5,FALSE
21,12,FALSE
48,11,FALSE
86,13,FALSE
4,5,FALSE
68,14,FALSE
18,9,FALSE
3,5,FALSE
2,2,FALSE
3,5,FALSE
3,4,FALSE
82,11,FALSE
6,5,FALSE
86,13,FALSE
530,12,FALSE
58,14,FALSE
22,13,FALSE
8,3,FALSE
25,10,FALSE
155,29,FALSE
102,13,FALSE
40,11,FALSE
82,11,FALSE
86,13,FALSE
16,12,FALSE
70,7,FALSE
4,5,FALSE
42,8,FALSE
268,23,FALSE
34,13,FALSE
136,13,FALSE
16,8,FALSE
8,12,FALSE
16,8,FALSE
4,5,FALSE
21,12,FALSE
3,5,FALSE
12,15,FALSE
131,17,FALSE
52,13,FALSE
47,7,FALSE
91,14,FALSE
34,13,FALSE
11,4,FALSE
79,10,FALSE
29,9,FALSE
21,5,FALSE
73,12,FALSE
89,20,TRUE
181,6,TRUE
907,20,TRUE
52,17,TRUE
445,19,TRUE
27,9,TRUE
95,19,TRUE
52,17,TRUE
95,19,TRUE
181,6,TRUE
6,7,TRUE
173,31,TRUE
18,6,TRUE
244,17,TRUE
86,11,TRUE
445,19,TRUE
10,11,TRUE
18,6,TRUE
445,19,TRUE
10,11,TRUE
21,9,TRUE
11,12,TRUE
19,9,TRUE
244,17,TRUE
173,31,TRUE
19,9,TRUE
6,7,TRUE
86,11,TRUE
86,11,TRUE
43,14,TRUE
10,11,TRUE
19,9,TRUE
52,17,TRUE
244,17,TRUE
907,20,TRUE
21,9,TRUE
114,12,TRUE
11,12,TRUE
19,9,TRUE
10,11,TRUE
6,7,TRUE
11,12,TRUE
445,19,TRUE
181,6,TRUE
52,17,TRUE
52,17,TRUE
18,6,TRUE
89,20,TRUE
114,12,TRUE
114,12,TRUE
19,9,TRUE
907,20,TRUE
43,14,TRUE
43,14,TRUE
27,9,TRUE
10,11,TRUE
244,17,TRUE
10,11,TRUE
21,9,TRUE
21,9,TRUE
52,17,TRUE
10,11,TRUE
445,19,TRUE
19,9,TRUE
181,6,TRUE
173,31,TRUE
244,17,TRUE
95,19,TRUE
18,6,TRUE
95,19,TRUE
52,17,TRUE
10,11,TRUE
114,12,TRUE
445,19,TRUE
95,19,TRUE
11,12,TRUE
6,7,TRUE
244,17,TRUE
43,14,TRUE
10,11,TRUE
21,9,TRUE
11,12,TRUE
43,14,TRUE
10,11,TRUE
52,17,TRUE
52,17,TRUE
18,6,TRUE
19,9,TRUE
89,20,TRUE
43,14,TRUE
18,6,TRUE
244,17,TRUE
6,7,TRUE
907,20,TRUE
6,7,TRUE
114,12,TRUE
114,12,TRUE
114,12,TRUE
11,12,TRUE
89,20,TRUE
43,14,TRUE
27,9,TRUE
6,7,TRUE
18,6,TRUE
907,20,TRUE
95,19,TRUE
10,11,TRUE
18,6,TRUE
173,31,TRUE
244,17,TRUE
181,6,TRUE
86,11,TRUE
445,19,TRUE
244,17,TRUE
95,19,TRUE
21,9,TRUE
95,19,TRUE
95,19,TRUE
181,6,TRUE
10,11,TRUE
86,11,TRUE
173,31,TRUE
19,9,TRUE
