@relation pbeansA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z96.0-no-replacement

@attribute cam numeric
@attribute Faultiness {TRUE,FALSE}

@data
1,TRUE
0.357143,TRUE
0.375,TRUE
0.333333,TRUE
0.6,TRUE
0.152297,TRUE
0.583333,TRUE
0.339286,TRUE
0.333333,TRUE
0.371429,TRUE
0.192708,TRUE
0.357143,TRUE
0.555556,FALSE
0.75,FALSE
0.666667,FALSE
0.75,FALSE
0.211111,FALSE
0.469388,FALSE
0.533333,FALSE
1,FALSE
0.5,FALSE
1,FALSE
0.4,FALSE
0.5,FALSE
