@relation pbeansA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z96.0-no-replacement

@attribute cam numeric
@attribute Faultiness {TRUE,FALSE}

@data
0.371429,TRUE
0.333333,TRUE
0.375,TRUE
0.6,TRUE
0.47,TRUE
0.357143,TRUE
0.357143,TRUE
0,TRUE
0.583333,TRUE
0.433333,TRUE
0.428571,TRUE
0.4,TRUE
0.211111,FALSE
1,FALSE
0.5,FALSE
0.555556,FALSE
0.469388,FALSE
0.625,FALSE
0.666667,FALSE
1,FALSE
0,FALSE
1,FALSE
0.5,FALSE
0.777778,FALSE
