@relation pbeansA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z105.2631579

@attribute cam numeric
@attribute Faultiness {TRUE,FALSE}

@data
0.361111,TRUE
0.428571,TRUE
0.357143,TRUE
0.47,TRUE
0.152297,TRUE
0.5,TRUE
1,TRUE
0.428571,TRUE
0.583333,TRUE
0.428571,TRUE
0.361111,TRUE
0.361111,TRUE
0.428571,TRUE
0.357143,TRUE
0.333333,TRUE
0.47,TRUE
0.152297,TRUE
0.458333,TRUE
0.361111,TRUE
0.583333,TRUE
0,FALSE
0.211111,FALSE
1,FALSE
0.75,FALSE
1,FALSE
0.625,FALSE
1,FALSE
0.533333,FALSE
0.777778,FALSE
0.296296,FALSE
0.5,FALSE
0.5,FALSE
1,FALSE
1,FALSE
0.533333,FALSE
0.5,FALSE
1,FALSE
0.625,FALSE
0.5,FALSE
0.777778,FALSE
