@relation arA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z25.35211268-no-replacement

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
6,6,FALSE
18,15,FALSE
61,10,FALSE
8,7,FALSE
153,14,FALSE
57,10,FALSE
4,5,FALSE
31,10,FALSE
25,16,FALSE
10,3,FALSE
68,5,FALSE
16,12,FALSE
22,4,FALSE
23,10,FALSE
34,13,FALSE
60,16,FALSE
51,4,FALSE
3,6,FALSE
20,6,FALSE
42,9,FALSE
8,3,FALSE
23,6,FALSE
11,8,FALSE
2,2,FALSE
45,9,FALSE
71,14,FALSE
285,15,FALSE
244,17,TRUE
114,12,TRUE
86,11,TRUE
51,17,TRUE
191,22,TRUE
445,19,TRUE
181,24,TRUE
907,20,TRUE
269,26,TRUE
252,20,TRUE
18,6,TRUE
324,21,TRUE
670,27,TRUE
89,18,TRUE
333,18,TRUE
50,14,TRUE
27,9,TRUE
95,19,TRUE
173,31,TRUE
250,28,TRUE
142,17,TRUE
43,14,TRUE
103,17,TRUE
11,12,TRUE
240,19,TRUE
161,11,TRUE
181,6,TRUE
