@relation arA-weka.filters.supervised.instance.Resample-B0.0-S1-Z75.0-no-replacement-weka.filters.supervised.instance.Resample-B1.0-S1-Z25.35211268-no-replacement

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
31,5,FALSE
55,13,FALSE
22,7,FALSE
17,5,FALSE
50,6,FALSE
60,9,FALSE
26,9,FALSE
8,12,FALSE
2,2,FALSE
9,8,FALSE
17,7,FALSE
91,5,FALSE
61,12,FALSE
13,9,FALSE
115,13,FALSE
10,5,FALSE
35,13,FALSE
56,7,FALSE
22,7,FALSE
33,17,FALSE
2,2,FALSE
136,13,FALSE
64,14,FALSE
39,15,FALSE
10,3,FALSE
13,4,FALSE
25,16,FALSE
11,12,TRUE
10,11,TRUE
89,20,TRUE
50,14,TRUE
51,17,TRUE
60,16,TRUE
19,9,TRUE
114,12,TRUE
670,27,TRUE
240,19,TRUE
269,26,TRUE
27,9,TRUE
21,9,TRUE
30,18,TRUE
6,7,TRUE
103,17,TRUE
86,11,TRUE
333,18,TRUE
181,6,TRUE
191,22,TRUE
181,24,TRUE
18,6,TRUE
907,20,TRUE
324,21,TRUE
52,17,TRUE
307,23,TRUE
250,28,TRUE
