@relation arA-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N2-F2-weka.filters.supervised.instance.Resample-B1.0-S1-Z25.35211268-no-replacement

@attribute total_loc numeric
@attribute unique_operators numeric
@attribute Faultiness {FALSE,TRUE}

@data
48,11,FALSE
11,4,FALSE
33,17,FALSE
32,11,FALSE
60,16,FALSE
9,7,FALSE
26,9,FALSE
64,14,FALSE
56,7,FALSE
149,17,FALSE
9,8,FALSE
22,13,FALSE
54,6,FALSE
27,9,FALSE
8,4,FALSE
26,9,FALSE
12,8,FALSE
2,2,FALSE
250,28,TRUE
114,12,TRUE
10,11,TRUE
43,14,TRUE
324,21,TRUE
142,17,TRUE
670,27,TRUE
161,11,TRUE
95,19,TRUE
103,17,TRUE
18,6,TRUE
269,26,TRUE
907,20,TRUE
173,31,TRUE
19,9,TRUE
181,24,TRUE
244,17,TRUE
30,18,TRUE
